# radiation_response_candidates — measured radiation responses mapped, or refused,
# against the parameters the CPM and the coupling contract actually name
#
# NOT ONE RECORD IN THIS LEDGER CAN IDENTIFY hamiltonian_radiation. That term
# requires SPATIAL REDISTRIBUTION OF BIOMASS IN A CHARACTERISED DOSE GRADIENT,
# and every irradiation located in the audit is a uniform field, an areal
# growth assay, or a survival curve. The one measured photon dose gradient in
# the whole audit (Bland 2022, 85.2 rad at the central plug to 6.1 rad at the
# growing edge, a 14-fold intra-colony variation) is read out as colony
# DIAMETER — an areal growth measurement, which cannot identify a directional
# term however good its dosimetry. The one architecture that could in
# principle identify one (Zhdanova 2004: directional source, spatial gradient,
# quantified directional response, exact modelled species) is blocked twice
# over: whether its gradient at the growth front was measured or calculated is
# unverified, and directed hyphal elongation has no CPM representation at all.
#
# This ledger is a MAPPING PASS over the evidence, not a calibration and not a
# second copy of the evidence. It populates nothing: lattice_pitch_um,
# density_g_cm3, seconds_per_mcs, normalization.hamiltonian_scale,
# normalization.melanin_scale and every material composition are untouched by
# every row, and no row may be read as implying one. candidate_parameter names
# the parameter a row BEARS ON if its blockers ever clear; it never asserts a
# value, and status is the verdict on THAT mapping question — not on whether
# the data can be downloaded, which is ledger 1's column (access_status in
# data/research/radiotrophic_dataset_candidates.csv, joined here on
# dataset_id). It is also NOT a proof of absence: every "no candidate found"
# row is a search result on one date across a named set of repositories,
# sampled and not exhausted.
#
# THE FOUR MAPPING RULES, applied per row and not relaxed:
#   hamiltonian_radiation — needs spatial redistribution in a CHARACTERISED
#     dose gradient. An areal growth or shielding experiment cannot identify a
#     directional term, and each such row says so in its own notes.
#   melanin_production — needs quantitative melanin or pigmentation against
#     dose, dose rate, modality, nutrient state and time, WITH a
#     melanized/non-melanized contrast. No located study supplies both halves;
#     they sit in different papers, on different strains, under different
#     melanization regimes. Stitching them would be a fabrication.
#   parcel_temporal_observable — needs a field-level statistic on BOTH sides.
#     A per-cell trace is not a parcel statistic; that is exactly what
#     disqualified single_cell_msd in
#     data/calibration/spatial/time_observable.csv.
#   growth_survival — STAYS unsupported_by_current_model however good the data
#     are. The CPM has no nutrient-driven biomass creation: divide_cell! has
#     no trigger and state.nutrient is never read by compute_delta_H. That is
#     a MODEL fact, not an evidence gap, and no quantity of survival data
#     changes it. future_growth_model carries the same fact for records whose
#     endpoint is biomass increase rather than survival.
# And one exclusion that is not a rule but a consequence: A TRANSCRIPTOME
# ALONE DOES NOT DEFINE A CPM SCALE PARAMETER, and a proteome alone does not
# define an OpenMC material. Several rows here are transcriptomes and every
# one of them says so in its own notes.
#
# NO ROW IS status ready, and that is the finding rather than an oversight.
# Forty-three of the sixty-four map to candidate_parameter none; the
# twenty-one that name a parameter are blocked on a measurement or
# unsupported_by_current_model, which awaits a MODEL CHANGE and is
# deliberately distinct from blocked.
#
# PHENOTYPE FOLLOWS THE ENDPOINT MEASURED. response_type carries ledger 1's
# phenotype_labels unchanged, from the closed vocabulary radiotrophic |
# radiotropic | radioresistant | melanized_radioprotective |
# radiation_responsive | radiation_shielding | none_demonstrated. Relabelling
# radioresistance as radiotrophy is a STOP CONDITION, not a judgement call:
# radiotrophic is earned by exactly one row (Dadachova 2007) and radiotropic
# by exactly one (Zhdanova 2004). radiation_shielding is earned by NONE — the
# term needs transmitted radiation reduced by biomass, and the only measured
# transmission in the audit is melanin in solution against a cellulose control
# of matched elemental composition, where the result is a null. UV, in any
# band, is not ionizing radiation for this project under any circumstances.
#
# applicability carries ledger 1's model_contribution token for the same
# dataset_id, unchanged, so the two ledgers do not fork a vocabulary:
# model_revision_evidence | prior_only | pipeline_validation | protocol_only |
# none. current_model_support opens with one of represented_but_uncalibrated |
# unsupported_by_current_model | model_revision_required | not_applicable and
# then says why, because a bare token cannot carry a model fact.
#
# UNIQUENESS KEY: evidence_id
# Blank numeric cells mean NOT MEASURED. They are never read as zero.
# BOOLEAN cells are {true, false, unverified}. unverified is the honest value
# wherever the record did not say or was not inspected on that point; a blank
# never means "no". not_measured means the quantity was never measured and
# not_applicable means no such quantity exists for that record — three
# distinct facts, never collapsed into one another.
#
# radiation_contract_complete is TRUE ON NO ROW: false on sixty-one, unverified
# on three. Not one located record states modality, energy or spectrum, dose,
# dose rate, exposure duration, source geometry AND dosimetry method together;
# the three that read unverified rather than false are the ones whose landing
# page or paywalled Methods were not readable at all, so even the failure could
# not be confirmed. This is why no row can enter a transport comparison.
#
# STOP CONDITIONS HIT BY THIS MAPPING PASS:
#   TARGETED_LAB_EXPERIMENT_REQUIRED — the discriminating measurement is
#     dose-resolved growth and metabolic rate under a characterised photon
#     field, with an isogenic melanin-null contrast, on the target strains,
#     with the media carbon budget closed. It exists in no archive and cannot
#     be requested from anyone, because nobody has made it.
#   NO hamiltonian_radiation CANDIDATE — stated in full at the top.
#   MELANIN HALVES IN DIFFERENT PAPERS — ten rows carry candidate_parameter
#     melanin_production and not one of them supplies both halves. The pigment
#     half (Wang 1996) had no radiation at all; the dose halves quantify
#     transcripts, chemistry, or a mean grey value on an image.
#   UNSUPPORTED_BY_CURRENT_MODEL — growth, survival and radiotropism, against
#     genuinely excellent data. Awaiting a MODEL CHANGE, deliberately distinct
#     from blocked, which awaits a measurement.
#   NO OpenMC PHOTON VALIDATION CANDIDATE — the two nearest records fail on
#     opposite axes: Bland 2022 has a photon field and no transport
#     measurement, Vasileiou 2020 has a transport measurement and no photons.
#   ISS FIELD IRRECONCILABLE — no dose axis exists in the flagship record at
#     all, so no dose-response transform can be fitted to it.
#
# SOURCE REGISTRY: every source_id resolves in data/sources.csv, to the same
# RADIOTROPHIC_AUDIT_2026 row ledger 1 cites. Per-record DOIs and accessions
# live in ledger 1's persistent_identifier column and are not duplicated here.
evidence_id,dataset_id,species,response_type,measured_observable,independent_variable,radiation_contract_complete,spatial_gradient_available,physical_time_available,melanized_control,nonmelanized_control,dose_response_available,candidate_parameter,current_model_support,applicability,status,source_id,notes
rr001,cneoformans_geo_gse80230,Cryptococcus neoformans,radiation_responsive,"Transcriptome at 30, 60 and 120 min recovery; LAC1 and LAC2 transcript abundance; spot-dilution survival","Absorbed dose (1 and 3 kGy) and recovery time",false,false,true,false,false,true,melanin_production,"represented_but_uncalibrated — normalization.melanin_scale is a declared, required, deliberately unpopulated config key, and a TRANSCRIPT is not a pigment mass",model_revision_evidence,blocked,RADIOTROPHIC_AUDIT_2026,"THE DOSE HALF WITHOUT THE PIGMENT HALF, and it points NEGATIVE. Same species, same modality, two-point dose axis: expression of both melanin-producing genes DECREASED after 1 and 3 kGy, the authors concluding that gamma radiation itself did not trigger melanin formation. Evidence AGAINST any melanin_production = f(ionizing dose) term with f increasing. A transcriptome alone does not define a CPM scale parameter. Uniform field, no spatial redistribution measured: hamiltonian_radiation cannot be identified here."
rr002,cneoformans_geo_gse117227,Cryptococcus neoformans,radiation_responsive,"RNA-seq 30 min after exposure in H99 and rad53 delta","Absorbed dose (0.5 kGy) and checkpoint genotype",false,false,false,false,false,false,none,"not_applicable — a single-dose, single-timepoint transcriptome defines no CPM scale parameter",prior_only,not_applicable,RADIOTROPHIC_AUDIT_2026,"DNA-damage checkpoint arm. One dose, one timepoint, no growth, biomass or metabolic endpoint, so there is no axis to fit anything against. The isotope is not stated on the landing page: the field is photon-plausible and its spectrum is unverified, which is enough on its own to keep it out of a transport comparison."
rr003,cneoformans_khajo2011_melanin_chemistry,Cryptococcus neoformans,radiation_responsive,"EPR spectra, 263 nm breakdown products, TBARS and 213Bi binding after 120 and 360 Gy","Absorbed dose (120 and 360 Gy) at 11.94 Gy/min",false,false,false,true,unverified,true,melanin_production,"represented_but_uncalibrated — melanin STRUCTURE is measured, melanin AMOUNT is not, and only an amount can scale anything",prior_only,blocked,RADIOTROPHIC_AUDIT_2026,"melanized_radioprotective REFUSED: the survival comparison is NOT PERFORMED in this paper — verbatim, 'These radiation doses are in a range known from prior work to demonstrate significant protection', citing Dadachova 2008. A citation to prior work is not a measurement in this record. One of only two photon-dominated fields in the audit with a stated source and a stated rate, and even here the source geometry and dosimetry method are unverified. No deposit exists."
rr004,cneoformans_malo2018_ultrastructure,Cryptococcus neoformans,melanized_radioprotective;radiation_responsive,"Ultrastructural cell-wall integrity in melanized cells at mid and maximum dose against two failure morphologies in non-melanized cells","Melanization state and radiation modality",false,false,false,true,true,unverified,melanin_production,"represented_but_uncalibrated — the contrast exists and the pigment is never quantified, so no scale can be fitted",prior_only,blocked,RADIOTROPHIC_AUDIT_2026,"radioresistant REFUSED: the survival clause in this paper refers to the group's PRIOR work, not to a curve printed here. Doses are not stated numerically anywhere accessible, so dose_response_available is unverified rather than false — the paper says mid and maximum, which implies levels it never names. Two of the three modalities are charged particles and cannot enter a photon comparison at all. Elsevier paywall; abstract read via Europe PMC, full text unread."
rr005,cneoformans_schultzhaus2019_melanin_gamma,Cryptococcus neoformans,radiation_responsive,"Transcriptome of melanized against non-melanized cells under gamma","Melanization state under gamma; dose not readable",unverified,false,unverified,true,true,unverified,melanin_production,"represented_but_uncalibrated — and a transcriptome alone would still not define a CPM scale parameter even after retrieval",model_revision_evidence,blocked,RADIOTROPHIC_AUDIT_2026,"THE SINGLE MOST IMPORTANT RECORD FOR MODEL REVISION IN THE AUDIT, and only its abstract is readable. isOpenAccess N; three targeted NCBI queries located no accession, while the same group's Exophiala data are deposited across five BioProjects — which makes the absence conspicuous rather than expected. Author contact wants the accession plus dose, dose rate, dosimetry method and strain from the Methods. Every boolean that would need the Methods reads unverified, which is the honest value."
rr006,melanized_fungi_dadachova2007_radiotrophy,Cryptococcus neoformans; Wangiella (Exophiala) dermatitidis; Cladosporium sphaerospermum,radiotrophic,"CFU at 18, 23 and 30 h (about 2.5-fold, P = 0.006); 14C-acetate incorporation (about 3-fold); dry weight +6.5% (CN, P = 0.02) and +8-10% (WD, P = 0.02); colony diameter and radial growth rate","Presence of the 188Re beta field, and melanization state (Lac-minus and tricyclazole contrasts)",false,false,true,true,true,false,future_growth_model,"unsupported_by_current_model — the CPM has no nutrient-driven biomass creation: divide_cell! has no trigger and state.nutrient is never read by compute_delta_H, so a measured growth ENHANCEMENT has nowhere to land. A model fact, not an evidence gap",prior_only,unsupported_by_current_model,RADIOTROPHIC_AUDIT_2026,"THE ONLY RADIOTROPHIC ROW IN THE LEDGER, and the whole word in this repository rests on it. Earned honestly — growth and metabolism measurably increased under exposure, which is a growth contrast and not a damage or survival contrast — and carrying its own load of caveats: the cell-arm field is characterised by analogy to Chernobyl rather than by a stated dosimeter, the integrated cell dose is not stated (0.05 mGy/h over 15-30 h implies roughly 0.75-1.5 uGy, an inference the audit labels as such, some eight orders below the isolated-melanin arm), the effects are single-digit percentages, and melanin already carried a BASELINE COST before any radiation: non-irradiated Lac-minus cells grew better and incorporated more 14C-acetate than non-irradiated melanized cells, so the melanized-against-albino comparison under radiation is confounded by a difference present without radiation. It also fails melanin_production outright: melanin is never quantified against dose. Single field, no gradient, no directional readout."
rr007,cneoformans_wang1996_melanin_mass_fraction,Cryptococcus neoformans,none_demonstrated,"Melanin as 15.4% of dry cell mass (lyophilized ghost over lyophilized whole cell); ESR kinetics over 14 d; relative melanin content 0.05 catechol, 0.45 dopamine, 1.0 L-dopa","Precursor identity, growth duration and temperature — no radiation of any kind",false,false,true,true,unverified,false,melanin_production,"represented_but_uncalibrated — the PIGMENT half of melanin_production with no dose half at all, and on the wrong mass basis",prior_only,blocked,RADIOTROPHIC_AUDIT_2026,"NO RADIATION WAS APPLIED, so this record cannot supply melanin_scale however precise it is. Four reasons the 15.4% is not a species constant, all measured inside the same paper: strain (ATCC 24067 serotype D against an up-to-eightfold spread across seven strains, and H99 — the strain in both GEO deposits — was not profiled), precursor (a twentyfold collapse on catechol), duration and temperature (day 10 sits on a still-rising curve, and the temperature of the quantified culture is itself unverified), and medium (a defined minimal medium with a supplied precursor is a maximal-melanization laboratory condition, not the nutrient state of any biofilm). And a fifth on basis: it is a dry-cell quantity while the contract requires hydrated_bulk_biofilm on a wet_bulk basis, and the converting water mass fraction does not exist. PMC174092 is a scanned page image behind an HTML bot-wall, so the underlying mass pair is unverified."
rr008,cneoformans_ravi2009_biofilm_thickness,Cryptococcus neoformans,none_demonstrated,"Biofilm thickness about 17.0 um at 37 C and about 16 um at 25-35 C at 48 h","Incubation temperature and time; no radiation",false,false,true,false,false,false,none,"not_applicable — a thickness is not a lattice pitch and this ledger populates neither",prior_only,not_applicable,RADIOTROPHIC_AUDIT_2026,"A CONSTRAINT OBSERVATION, NOT A PITCH. Reading a 16-17 um biofilm thickness as a pitch would be the N=60 error wearing a biological hat, and pitch_selection.select_pitch() refuses without declared tolerances and a held-out stack regardless. Rendered figures only; no deposit."
rr009,cneoformans_zenodo_21921798_nmr,Cryptococcus sp.,none_demonstrated,"Solid-state NMR of cell walls — contents uninspected","not_applicable — no experimental variable is stated in the record",false,false,unverified,unverified,unverified,false,none,"not_applicable — an uninspected archive supports no mapping in either direction",prior_only,not_applicable,RADIOTROPHIC_AUDIT_2026,"MUST NOT BE DESCRIBED AS RAW UNTIL UNPACKED. The Zenodo description field is empty, the record carries no related preprint identifier, and strains and culture conditions are unknown, so species is recorded as Cryptococcus sp. rather than assigned to the modelled species. Cheaper than the author request: unpack the 143.7 MB archive. No radiation."
rr010,csphaerospermum_iss_frontiers2022,Cladosporium sphaerospermum,none_demonstrated,"147 against 151 counts per minute beneath and beside a biomass layer (n = 1 dish, p = 0.069); relative optical density from camera brightness over 622.5 h","Presence of the biomass attenuator; flight against ground",false,false,true,false,false,false,none,"not_applicable — NO DOSE AXIS EXISTS, so there is nothing for a dose-response transform to be fitted against",prior_only,not_applicable,RADIOTROPHIC_AUDIT_2026,"ISS FIELD IRRECONCILABLE. Verbatim: 'Due to the nature of the employed radiation sensors (PIN photodiode), dosimetric data was not obtained.' Two mutually inconsistent count-to-dose conversions appear in the supplement, differing by 4.4-fold, and both divide someone else's whole-body dose rate by this detector's count rate. Phase 1 gave p = 0.970, a proper negative control; the attenuation path is dominated by 13.33 mm of agar; melanin was never measured ('presumably constant', 'putatively'); the growth comparison is flight against ground with microgravity and transit history confounded, which the authors state; the headline 1.21 +/- 0.37-fold does not exclude unity and does not reproduce from the paper's own rate constants. radiation_shielding REFUSED and radiotrophic REFUSED — peer review struck both words from the title between preprint and publication, applying this project's own rule."
